,user_age_group,skeleton_accuracy,total_skeleton,avatar_accuracy,total_avatar
0,middle_school,48.0,50,80.0,10
1,college,39.22,51,100.0,9
2,middle_school,60.42,48,100.0,12
3,middle_school,54.72,53,71.43,7
4,middle_school,74.51,51,100.0,9
5,college,56.0,50,90.0,10
6,high_school,50.98,51,66.67,9
7,middle_school,64.81,54,100.0,6
8,high_school,64.29,56,100.0,4
9,middle_school,65.31,49,90.91,11
10,high_school,55.56,54,100.0,6
11,middle_school,49.09,55,100.0,5
12,high_school,46.3,54,100.0,6
13,high_school,42.31,52,87.5,8
14,middle_school,53.85,52,100.0,8
15,middle_school,38.24,34,83.33,6
16,middle_school,51.92,52,75.0,8
17,high_school,49.02,51,88.89,9
18,high_school,50.94,53,71.43,7
19,middle_school,28.3,53,71.43,7
20,high_school,54.72,53,100.0,7
21,middle_school,88.37,43,100.0,17
22,college,54.17,48,75.0,12
23,college,51.06,47,92.31,13
24,high_school,47.06,51,88.89,9
25,middle_school,45.1,51,100.0,9
26,high_school,43.64,55,60.0,5
27,middle_school,56.6,53,57.14,7
28,middle_school,55.77,52,100.0,8
29,high_school,86.84,38,95.45,22
30,high_school,51.92,52,87.5,8
31,college,54.72,53,71.43,7
32,high_school,61.11,54,100.0,6
33,college,40.48,42,88.89,18
34,college,64.71,51,88.89,9
35,middle_school,57.69,52,87.5,8
36,high_school,30.0,50,50.0,10
37,college,46.43,56,100.0,4
38,high_school,35.19,54,100.0,6
39,college,45.1,51,100.0,9
40,middle_school,43.75,48,91.67,12
41,middle_school,50.0,54,66.67,6
42,college,63.46,52,87.5,8
43,middle_school,55.1,49,72.73,11
44,middle_school,58.7,46,85.71,14
45,high_school,60.0,50,80.0,10
46,college,53.85,52,87.5,8
47,high_school,64.71,51,88.89,9
48,middle_school,49.02,51,88.89,9
49,middle_school,46.0,50,70.0,10
50,high_school,60.0,45,86.67,15
51,college,64.71,51,77.78,9
52,high_school,49.02,51,88.89,9
53,middle_school,86.84,38,100.0,22
54,middle_school,43.75,48,91.67,12
55,college,53.7,54,100.0,6
56,college,47.92,48,83.33,12
57,high_school,46.15,52,75.0,8
58,high_school,47.27,55,80.0,5
59,college,55.77,52,75.0,8
60,middle_school,54.0,50,100.0,10
61,high_school,41.18,51,88.89,9
62,middle_school,58.82,51,88.89,9
63,college,51.92,52,100.0,8
64,middle_school,67.31,52,87.5,8
65,college,40.38,52,100.0,8
66,middle_school,48.94,47,92.31,13
67,middle_school,45.28,53,85.71,7
68,middle_school,58.0,50,70.0,10
69,college,69.81,53,100.0,7
70,college,52.0,50,70.0,10
71,high_school,52.08,48,83.33,12
72,high_school,49.09,55,60.0,5
73,high_school,56.6,53,100.0,7
74,middle_school,57.69,52,100.0,8
75,middle_school,53.7,54,100.0,6
76,middle_school,49.06,53,71.43,7
77,high_school,51.02,49,100.0,11
78,high_school,50.0,52,87.5,8
79,middle_school,59.18,49,100.0,11
80,college,59.62,52,62.5,8
81,middle_school,58.18,55,60.0,5
82,middle_school,49.02,51,77.78,9
83,middle_school,46.0,50,80.0,10
84,college,55.32,47,100.0,13
85,high_school,54.55,55,80.0,5
86,college,46.81,47,84.62,13
87,college,58.82,51,88.89,9
88,middle_school,58.82,51,88.89,9
89,high_school,43.4,53,85.71,7
90,high_school,66.04,53,85.71,7
91,college,43.4,53,100.0,7
92,high_school,39.22,51,66.67,9
93,middle_school,47.06,51,88.89,9
94,high_school,50.91,55,80.0,5
95,college,58.33,48,91.67,12
96,high_school,80.0,45,86.67,15
97,high_school,59.62,52,87.5,8
98,middle_school,53.06,49,100.0,11
99,college,56.6,53,85.71,7
100,college,49.06,53,100.0,7
101,middle_school,60.0,55,80.0,5
102,middle_school,46.15,52,62.5,8
103,high_school,57.14,49,72.73,11
104,college,58.93,56,100.0,4
105,high_school,59.26,54,100.0,6
106,high_school,61.54,52,100.0,8
107,middle_school,52.83,53,100.0,7
108,college,67.92,53,100.0,7
109,middle_school,53.06,49,100.0,11
110,college,58.82,51,88.89,9
111,high_school,59.18,49,90.91,11
112,high_school,66.67,54,66.67,6
113,middle_school,50.98,51,100.0,9
114,middle_school,79.07,43,94.12,17
115,high_school,53.85,52,87.5,8
116,college,58.82,51,100.0,9
117,high_school,42.86,49,90.91,11
118,high_school,51.92,52,75.0,8
119,high_school,61.54,52,100.0,8
120,middle_school,95.74,47,92.31,13
121,college,60.78,51,88.89,9
122,high_school,27.66,47,53.85,13
123,high_school,22.64,53,14.29,7
124,high_school,49.02,51,66.67,9
125,high_school,50.0,50,90.0,10
126,middle_school,49.02,51,88.89,9
127,college,51.85,54,100.0,6
128,college,60.0,50,100.0,10
